date,us_aqi,us_aqi_max,us_aqi_std,pm2_5,pm10,co,no2,o3,aqi,day_of_week,month,is_weekend,aqi_lag_1d,aqi_lag_3d,aqi_lag_7d,aqi_rolling_3d,aqi_rolling_7d,pm25_rolling_7d,pm10_rolling_7d,co_rolling_7d,aqi_change_1d,aqi_change_3d
2025-12-01,109.92083333333333,156.9,26.12153832554188,39.1625,78.54625,171.5725,0.2354166666666667,118.63458333333334,109.92083333333333,0,12,0,163.47916666666666,164.87083333333334,179.3166666666667,144.05277777777778,151.33809523809526,63.12654761904762,117.87880952380952,271.3827976190476,-53.55833333333332,-54.95
2025-12-02,93.89999999999999,124.5,20.980031914428416,31.07625,67.23666666666666,194.11249999999998,0.9162500000000001,129.34833333333333,93.89999999999999,1,12,0,109.92083333333333,158.75833333333333,159.99583333333334,122.43333333333332,141.89583333333331,57.803690476190475,107.29380952380951,260.24345238095236,-16.020833333333343,-64.85833333333333
2025-12-03,146.62916666666666,164.3,13.716650597838688,57.23875,122.90541666666667,258.86833333333334,1.5120833333333332,138.02041666666668,146.62916666666666,2,12,0,93.89999999999999,163.47916666666666,155.76250000000002,116.81666666666665,140.5910714285714,57.08136904761905,107.42738095238094,259.31142857142856,52.72916666666667,-16.849999999999994
2025-12-04,165.94166666666666,181.4,10.204939838208228,76.82916666666667,177.63458333333332,277.3754166666667,1.8070833333333336,139.23083333333332,165.94166666666666,3,12,0,146.62916666666666,109.92083333333333,146.57916666666668,135.49027777777775,143.35714285714286,59.923630952380954,116.79386904761904,261.9039285714286,19.3125,56.02083333333333
2025-12-05,157.19166666666666,163.5,2.906202761810283,64.32666666666667,125.28916666666667,271.9008333333333,1.7191666666666665,139.57416666666668,157.19166666666666,4,12,0,165.94166666666666,93.89999999999999,164.87083333333334,156.58749999999998,142.26011904761904,58.35791666666667,115.74208333333333,254.7128571428571,-8.75,63.29166666666667
2025-12-06,177.89583333333334,183.9,3.9486353357195108,93.86375,192.36541666666668,331.36833333333334,1.8354166666666665,139.36125,177.89583333333334,5,12,1,157.19166666666666,146.62916666666666,158.75833333333333,167.0097222222222,144.99404761904762,62.258630952380955,127.20726190476189,259.5825,20.70416666666668,31.26666666666668
2025-12-07,184.64166666666665,198.2,8.512799399914712,103.4825,220.64041666666665,343.73625,1.5179166666666666,142.44166666666666,184.64166666666665,6,12,1,177.89583333333334,165.94166666666666,163.47916666666666,173.24305555555554,148.0172619047619,66.5685119047619,140.65970238095238,264.1334523809524,6.745833333333309,18.69999999999999
2025-12-08,184.36249999999998,203.0,15.272277029054116,102.85208333333333,184.7229166666667,400.8833333333334,2.7383333333333333,149.1475,184.36249999999998,0,12,0,184.64166666666665,157.19166666666666,109.92083333333333,182.29999999999995,158.65178571428572,75.66702380952381,155.82779761904763,296.89214285714286,-0.27916666666666856,27.17083333333332
2025-12-09,170.5875,194.3,12.922589338727422,83.65416666666667,156.02833333333334,351.79791666666665,2.5716666666666668,136.12166666666667,170.5875,1,12,0,184.36249999999998,177.89583333333334,93.89999999999999,179.86388888888885,169.60714285714286,83.17815476190476,168.5123214285714,319.41863095238097,-13.774999999999977,-7.308333333333337
2025-12-10,167.38750000000002,185.4,14.837300601202179,80.20041666666667,139.43875,409.6525,1.9795833333333333,139.50833333333333,167.38750000000002,2,12,0,170.5875,184.64166666666665,146.62916666666666,174.11249999999995,172.57261904761904,86.45839285714285,170.8742261904762,340.9592261904762,-3.1999999999999886,-17.254166666666634
2025-12-11,92.80416666666667,159.0,31.90148530229829,30.592916666666667,40.152499999999996,157.93916666666667,0.19999999999999998,118.83125,92.80416666666667,3,12,0,167.38750000000002,184.36249999999998,165.94166666666666,143.59305555555554,162.12440476190477,79.8532142857143,151.23392857142855,323.89690476190475,-74.58333333333334,-91.55833333333331
2025-12-12,56.4,58.1,0.8757605390397124,12.0,16.674583333333334,91.87791666666668,0.03666666666666667,96.26125,56.4,4,12,0,92.80416666666667,170.5875,157.19166666666666,105.53055555555552,147.72559523809522,72.37797619047619,135.7175595238095,298.17934523809527,-36.404166666666676,-114.1875
2025-12-13,70.20416666666667,500.0,91.57074945525508,9.645833333333334,13.270000000000001,87.88875,0.03625,93.93833333333333,70.20416666666667,5,12,1,56.4,167.38750000000002,177.89583333333334,73.13611111111109,132.3410714285714,60.346845238095234,110.13249999999998,263.3965476190476,13.804166666666667,-97.18333333333335
2025-12-14,69.0,115.3,21.8759943873366,19.016666666666666,30.941666666666666,132.535,0.5529166666666666,106.31124999999999,69.0,6,12,1,70.20416666666667,92.80416666666667,184.64166666666665,65.20138888888887,115.82083333333333,48.28029761904762,83.03267857142858,233.22494047619048,-1.2041666666666657,-23.804166666666674
2025-12-15,207.48333333333335,246.7,27.66141036152001,129.8475,232.42166666666665,466.07666666666665,1.9004166666666666,134.47666666666666,207.48333333333335,0,12,0,69.0,56.4,184.36249999999998,115.56249999999999,119.12380952380953,52.136785714285715,89.8467857142857,242.5382738095238,138.48333333333335,151.08333333333334
2025-12-16,282.5125,337.2,34.97676635686337,207.44583333333333,331.9291666666667,677.015,1.875,140.56666666666666,282.5125,1,12,0,207.48333333333335,70.20416666666667,170.5875,186.33194444444442,135.11309523809524,69.82130952380952,114.97547619047619,288.99785714285713,75.02916666666664,212.30833333333334
2025-12-17,247.95416666666665,276.1,18.60979123230954,172.88250000000002,269.7079166666667,532.4941666666667,1.2666666666666666,134.08083333333335,247.95416666666665,2,12,0,282.5125,69.0,167.38750000000002,245.98333333333332,146.62261904761905,83.06160714285714,133.58535714285713,306.5466666666667,-34.55833333333334,178.95416666666665
2025-12-18,252.16666666666666,293.5,31.457876136422367,177.12375,259.7029166666667,527.3270833333333,1.4683333333333335,151.92458333333335,252.16666666666666,3,12,0,247.95416666666665,207.48333333333335,92.80416666666667,260.87777777777774,169.38869047619048,103.99458333333334,164.94970238095237,359.31636904761905,4.212500000000006,44.68333333333331
2025-12-19,257.1125,276.3,12.55368688265822,182.13041666666666,275.6404166666667,598.8570833333333,2.1041666666666665,134.13,257.1125,4,12,0,252.16666666666666,282.5125,56.4,252.41111111111113,198.06190476190477,128.29892857142858,201.94482142857143,431.7419642857143,4.945833333333354,-25.399999999999977
